,pac-1,tissue
ACH-000888,0,lung
ACH-000121,0,lung
ACH-000483,1,liver
ACH-000871,0,lung
ACH-000717,1,esophagus
ACH-000565,0,colorectal
ACH-000186,0,lung
ACH-000192,0,uterus
ACH-000042,0,pancreas
ACH-000789,1,lung
ACH-000354,1,pancreas
ACH-000196,1,breast
ACH-000254,0,upper_aerodigestive
ACH-000395,1,lung
ACH-000116,0,ovary
ACH-000157,1,lymphocyte
ACH-000621,1,breast
ACH-000308,0,ovary
ACH-000694,0,esophagus
ACH-000038,1,lymphocyte
ACH-000169,0,soft_tissue
ACH-000743,0,lung
ACH-000238,0,upper_aerodigestive
ACH-000548,0,upper_aerodigestive
ACH-000161,0,lung
ACH-000860,1,lung
ACH-000560,1,gastric
ACH-000434,0,lung
ACH-000456,1,thyroid
ACH-000341,0,peripheral_nervous_system
ACH-000021,0,lung
ACH-000058,1,thyroid
ACH-000775,1,lung
ACH-000364,1,bone
ACH-000624,0,breast
ACH-000414,1,lung
ACH-000352,0,breast
ACH-000349,1,breast
ACH-000319,0,lung
ACH-000181,0,upper_aerodigestive
ACH-000137,0,central_nervous_system
ACH-000766,0,lung
ACH-000675,0,lung
ACH-000389,0,central_nervous_system
ACH-000351,1,gastric
ACH-000394,0,lung
ACH-000744,0,lung
ACH-000114,1,pancreas
ACH-000103,1,ovary
ACH-000144,1,gastric
ACH-000514,0,lung
ACH-000864,1,uterus
ACH-000305,0,esophagus
ACH-000603,0,lung
ACH-000916,0,lung
ACH-000978,0,uterus
ACH-000561,0,esophagus
ACH-000052,0,bone
