,bms-754807,tissue
ACH-000846,0,upper_aerodigestive
ACH-000472,1,upper_aerodigestive
ACH-000204,1,plasma_cell
ACH-000861,1,lung
ACH-000974,1,uterus
ACH-000579,0,skin
ACH-000589,1,lung
ACH-000092,0,lung
ACH-000491,1,colorectal
ACH-000473,1,urinary_tract
ACH-000894,1,lung
ACH-000258,1,breast
ACH-000963,0,colorectal
ACH-000247,1,gastric
ACH-000554,0,breast
ACH-000070,1,blood
ACH-000849,1,breast
ACH-000788,1,skin
ACH-000303,1,gastric
ACH-000250,0,kidney
ACH-000706,1,lung
ACH-000510,1,lung
ACH-000986,1,colorectal
ACH-000936,0,ovary
ACH-000607,0,soft_tissue
ACH-000277,0,breast
ACH-000355,0,lung
ACH-000281,1,pancreas
ACH-000730,0,skin
ACH-000883,0,central_nervous_system
ACH-000425,0,skin
ACH-000004,0,blood
ACH-000304,0,skin
ACH-000956,1,prostate
ACH-000848,1,liver
ACH-000574,0,ovary
ACH-000060,1,pancreas
ACH-000843,0,lung
ACH-000236,0,colorectal
ACH-000072,0,blood
ACH-000147,0,breast
ACH-000815,0,lymphocyte
ACH-000030,0,lung
ACH-000817,0,plasma_cell
ACH-000617,0,ovary
ACH-000691,1,breast
ACH-000207,1,upper_aerodigestive
ACH-000198,1,blood
ACH-000724,0,urinary_tract
ACH-000985,0,colorectal
ACH-000886,1,lung
ACH-000725,0,breast
ACH-000019,1,breast
ACH-000322,1,skin
ACH-000821,0,plasma_cell
ACH-000343,1,lung
ACH-000756,1,central_nervous_system
ACH-000551,0,blood
ACH-000524,0,ovary
ACH-000183,1,plasma_cell
ACH-000493,1,liver
ACH-000193,1,plasma_cell
ACH-000944,0,lymphocyte
ACH-000651,0,colorectal
ACH-000857,1,breast
ACH-000267,0,lymphocyte
ACH-000464,0,central_nervous_system
ACH-000082,1,bone
ACH-000784,0,esophagus
ACH-000048,1,ovary
ACH-000094,0,pancreas
ACH-000219,1,skin
ACH-000525,1,lung
ACH-000595,0,central_nervous_system
ACH-000826,1,lung
ACH-000363,1,plasma_cell
ACH-000530,0,lung
ACH-000856,1,breast
ACH-000376,1,central_nervous_system
ACH-000235,0,pancreas
ACH-000869,1,lung
ACH-000679,1,esophagus
ACH-000075,0,central_nervous_system
ACH-000065,1,blood
ACH-000622,0,central_nervous_system
ACH-000613,1,bone
ACH-000248,0,breast
ACH-000538,1,gastric
ACH-000375,1,soft_tissue
ACH-000145,1,soft_tissue
ACH-000587,1,lung
ACH-000951,1,lung
ACH-000662,1,lung
ACH-000648,0,lung
ACH-000360,1,colorectal
ACH-000353,1,esophagus
ACH-000812,0,skin
ACH-000892,0,lung
ACH-000243,0,pancreas
ACH-000273,0,central_nervous_system
ACH-000639,0,lung
ACH-000893,1,lung
ACH-000803,1,lung
ACH-000056,0,lymphocyte
ACH-000819,1,central_nervous_system
ACH-000811,1,ovary
ACH-000151,1,blood
ACH-000138,0,pancreas
ACH-000379,0,lung
ACH-000101,1,blood
ACH-000227,0,peripheral_nervous_system
ACH-000875,0,lung
ACH-000882,1,skin
ACH-000374,0,breast
ACH-000501,0,colorectal
ACH-000627,1,lung
ACH-000767,1,lung
ACH-000902,0,breast
ACH-000879,0,uterus
ACH-000977,0,prostate
ACH-000078,1,peripheral_nervous_system
ACH-000293,0,uterus
ACH-000740,0,upper_aerodigestive
ACH-000001,0,ovary
ACH-000431,0,lung
ACH-000823,0,esophagus
ACH-000168,1,blood
ACH-000570,1,central_nervous_system
ACH-000054,0,soft_tissue
ACH-000562,1,lung
ACH-000024,1,plasma_cell
ACH-000873,1,esophagus
ACH-000745,1,plasma_cell
ACH-000559,0,lung
ACH-000800,0,lung
ACH-000885,0,ovary
ACH-000441,1,skin
ACH-000118,1,pancreas
ACH-000476,0,liver
ACH-000814,0,skin
ACH-000573,0,breast
ACH-000217,0,liver
ACH-000420,0,liver
ACH-000998,0,colorectal
ACH-000149,1,peripheral_nervous_system
ACH-000346,0,blood
ACH-000486,0,urinary_tract
ACH-000903,0,thyroid
ACH-000747,0,lung
ACH-000929,1,lung
ACH-000759,0,breast
ACH-000770,0,blood
ACH-000465,0,skin
ACH-000146,0,blood
ACH-000830,0,lung
ACH-000615,0,skin
ACH-000211,1,central_nervous_system
ACH-000729,0,lung
ACH-000585,0,lung
ACH-000265,1,pancreas
ACH-000816,0,lung
ACH-000876,0,breast
ACH-000698,0,lung
ACH-000563,1,lung
ACH-000999,0,colorectal
ACH-000392,0,lung
ACH-000647,1,esophagus
ACH-000252,0,colorectal
ACH-000945,1,lung
ACH-000410,1,bone
ACH-000233,1,lymphocyte
ACH-000508,0,lung
ACH-000102,1,central_nervous_system
ACH-000636,0,blood
ACH-000482,1,lung
ACH-000527,0,ovary
ACH-000637,0,esophagus
ACH-000115,1,prostate
ACH-000900,0,lung
ACH-000098,1,central_nervous_system
ACH-000802,1,urinary_tract
ACH-000805,1,skin
ACH-000619,0,upper_aerodigestive
ACH-000638,1,lung
ACH-000015,0,lung
ACH-000416,1,lung
ACH-000381,0,colorectal
ACH-000012,0,lung
ACH-000969,1,colorectal
ACH-000792,0,kidney
ACH-000962,0,ovary
ACH-000776,1,central_nervous_system
ACH-000720,1,urinary_tract
ACH-000890,1,lung
ACH-000423,1,skin
ACH-000930,0,breast
ACH-000401,1,skin
ACH-000822,0,skin
ACH-000081,1,blood
ACH-000475,0,liver
ACH-000231,1,central_nervous_system
ACH-000670,1,lung
ACH-000257,0,lung
ACH-000940,1,uterus
ACH-000372,1,blood
ACH-000718,0,lung
ACH-000787,1,lung
ACH-001075,1,lung
ACH-000665,0,lung
ACH-000955,0,colorectal
ACH-000841,1,lung
ACH-000008,1,skin
ACH-000073,0,lymphocyte
ACH-000699,0,breast
ACH-000643,0,breast
ACH-000298,0,lung
ACH-000378,0,lung
ACH-000950,1,colorectal
ACH-000480,1,liver
ACH-000703,0,lung
ACH-000586,0,lung
ACH-000290,0,lung
ACH-000350,0,colorectal
ACH-000457,0,kidney
ACH-000641,1,blood
ACH-000939,1,soft_tissue
ACH-000980,0,lung
ACH-000447,1,lung
ACH-000521,1,lung
ACH-000358,0,lung
ACH-000309,1,lung
ACH-000504,1,central_nervous_system
ACH-000536,0,breast
ACH-000783,0,breast
ACH-000099,1,peripheral_nervous_system
ACH-000348,0,skin
ACH-000669,1,lung
ACH-000408,0,esophagus
ACH-000818,0,breast
ACH-000644,0,skin
ACH-000697,0,lymphocyte
ACH-000249,0,colorectal
ACH-000429,0,kidney
ACH-000366,1,peripheral_nervous_system
ACH-000937,0,blood
ACH-000442,0,lung
ACH-000866,1,lung
ACH-000191,0,thyroid
ACH-000100,1,soft_tissue
ACH-000189,0,kidney
ACH-000260,0,peripheral_nervous_system
ACH-000399,0,lung
ACH-000040,0,central_nervous_system
ACH-000610,0,lung
ACH-000733,0,lung
ACH-000440,0,lymphocyte
ACH-001190,1,skin
ACH-000391,1,bone
ACH-000666,1,lung
ACH-000223,0,breast
ACH-000443,0,ovary
ACH-000786,0,lymphocyte
ACH-000136,1,peripheral_nervous_system
ACH-000142,0,urinary_tract
ACH-000107,1,pancreas
ACH-000518,1,upper_aerodigestive
ACH-000269,0,central_nervous_system
ACH-000264,0,lung
ACH-000835,1,soft_tissue
ACH-000702,0,lymphocyte
ACH-000282,0,lung
ACH-000546,0,upper_aerodigestive
ACH-000422,0,liver
ACH-000067,0,central_nervous_system
ACH-000117,1,breast
ACH-000628,0,lung
ACH-000221,1,liver
ACH-000790,0,lung
ACH-000451,0,lung
ACH-000292,0,lung
ACH-000867,0,lung
ACH-000087,1,bone
ACH-000159,1,kidney
ACH-000062,0,lung
ACH-000276,0,breast
ACH-000055,0,central_nervous_system
ACH-000781,0,lung
ACH-000111,1,breast
ACH-000228,0,upper_aerodigestive
ACH-000888,0,lung
ACH-000121,1,lung
ACH-000483,0,liver
ACH-000871,0,lung
ACH-000717,1,esophagus
ACH-000565,0,colorectal
ACH-000186,0,lung
ACH-000192,0,uterus
ACH-000895,0,colorectal
ACH-000042,1,pancreas
ACH-000789,1,lung
ACH-000354,1,pancreas
ACH-000196,1,breast
ACH-000254,1,upper_aerodigestive
ACH-000395,0,lung
ACH-000116,0,ovary
ACH-000157,1,lymphocyte
ACH-000621,0,breast
ACH-000308,0,ovary
ACH-000694,1,esophagus
ACH-000038,0,lymphocyte
ACH-000169,1,soft_tissue
ACH-000743,0,lung
ACH-000238,1,upper_aerodigestive
ACH-000548,1,upper_aerodigestive
ACH-000161,1,lung
ACH-000860,1,lung
ACH-000560,1,gastric
ACH-000434,0,lung
ACH-000456,1,thyroid
ACH-000341,1,peripheral_nervous_system
ACH-000021,0,lung
ACH-000058,1,thyroid
ACH-000775,1,lung
ACH-000364,1,bone
ACH-000624,0,breast
ACH-000414,1,lung
ACH-000352,0,breast
ACH-000349,0,breast
ACH-000319,0,lung
ACH-000137,0,central_nervous_system
ACH-000766,1,lung
ACH-000675,1,lung
ACH-000389,1,central_nervous_system
ACH-000351,1,gastric
ACH-000394,1,lung
ACH-000744,1,lung
ACH-000114,0,pancreas
ACH-000103,1,ovary
ACH-000144,1,gastric
ACH-000514,0,lung
ACH-000864,0,uterus
ACH-000305,0,esophagus
ACH-000603,0,lung
ACH-000916,0,lung
ACH-000978,0,uterus
ACH-000561,1,esophagus
ACH-000052,1,bone
